bib,title,note_num,note_text,note_type,record_total_notes,record_typed_notes,w_count,o_count,a_count,ow_count,aw_count,source
14526311,880-03 Kashf al-lithām ʻan asʼilat al-anām : manuscript / Ḥusayn ibn Muḥammad al-Maḥallī.,7,"In fair naskh/ruqʻah script, in black ink, on white paper; headings and markings in red; titles of the legal issues on the margins, preceded by the word ""maṭlab"" (question, issue, matter), catchwords.",ow,15,8,3,2,2,1,0,martin
14526480,880-02 Taʻlīm al-mutaʻallim ṭarīq al-taʻallum : manuscript / Burhān al-Dīn al-Zarnūjī.,7,"15 x 21.5 cm; written surface: 10.5 x 17 cm; 15 lines per page. Written surface for the excerpt from ""Majālis al-abrār wa-masālik al-akhyār"": 13.5 x 19 cm; 17-19 lines per page.",ow,17,16,11,1,0,1,1,martin
