bib_id,title,note_num,note,type,source
17517392,"Address from a special meeting of the Emigrants' Society, held in the grand jury room of the court-house at Quebec.",3,Title from publisher's website.,,daniel
17517393,The constitution; or Cork advertiser.,1,From collection: War and Colonial Department and Colonial Office: Emigration Original Correspondence.,,daniel
17517393,The constitution; or Cork advertiser.,2,"This document is part of CO 384/13 from The National Archives, UK.",,daniel
17517393,The constitution; or Cork advertiser.,3,Title from publisher's website.,,daniel
17517394,Information respecting Upper Canada.,1,From collection: War and Colonial Department and Colonial Office: Emigration Original Correspondence.,,daniel
17517394,Information respecting Upper Canada.,2,"This document is part of CO 384/13 from The National Archives, UK.",,daniel
17517394,Information respecting Upper Canada.,3,Title from publisher's website.,,daniel
17517395,Subscription for building churches and school-houses in Upper Canada.,1,From collection: War and Colonial Department and Colonial Office: Emigration Original Correspondence.,,daniel
17517395,Subscription for building churches and school-houses in Upper Canada.,2,"This document is part of CO 384/13 from The National Archives, UK.",,daniel
17517395,Subscription for building churches and school-houses in Upper Canada.,3,Title from publisher's website.,,daniel
17517396,"Unto the honourable the commons of Great Britain and Ireland in parliament assembled, the humble petition of the undersigned inhabitants of Glasgow and neighbourhood.",1,From collection: War and Colonial Department and Colonial Office: Emigration Original Correspondence.,,daniel
17517396,"Unto the honourable the commons of Great Britain and Ireland in parliament assembled, the humble petition of the undersigned inhabitants of Glasgow and neighbourhood.",2,"This document is part of CO 384/14 from The National Archives, UK.",,daniel
17517396,"Unto the honourable the commons of Great Britain and Ireland in parliament assembled, the humble petition of the undersigned inhabitants of Glasgow and neighbourhood.",3,Title from publisher's website.,,daniel
17517397,"An act regulating passenger ships and vessels [March 2, 1819].",1,From collection: War and Colonial Department and Colonial Office: Emigration Original Correspondence.,,daniel
17517397,"An act regulating passenger ships and vessels [March 2, 1819].",2,"Signed H. Clay, James Barbour, James Monroe.",,daniel
17517397,"An act regulating passenger ships and vessels [March 2, 1819].",3,"This document is part of CO 384/20 from The National Archives, UK.",,daniel
17517397,"An act regulating passenger ships and vessels [March 2, 1819].",4,Title supplied by cataloguer.,,daniel
17517398,"Purposes of emigration societies, union and agency : to the Emigration Union of Ceres, Scoonie, Kennoway, Cults, and Largo.",1,From collection: War and Colonial Department and Colonial Office: Emigration Original Correspondence.,,daniel
17517398,"Purposes of emigration societies, union and agency : to the Emigration Union of Ceres, Scoonie, Kennoway, Cults, and Largo.",2,"This document is part of CO 384/20 from The National Archives, UK.",,daniel
17517398,"Purposes of emigration societies, union and agency : to the Emigration Union of Ceres, Scoonie, Kennoway, Cults, and Largo.",3,Title from publisher's website.,,daniel
17517399,Discourses.,1,From collection: War and Colonial Department and Colonial Office: Emigration Original Correspondence.,,daniel
17517399,Discourses.,2,"This document is part of CO 384/20 from The National Archives, UK.",,daniel
17517399,Discourses.,3,Title from publisher's website.,,daniel
17517400,"To all friends to the distressed, and well-disposed Christians, the petition of the Glasgow Emigrant Society.",1,From collection: War and Colonial Department and Colonial Office: Emigration Original Correspondence.,,daniel
17517400,"To all friends to the distressed, and well-disposed Christians, the petition of the Glasgow Emigrant Society.",2,"This document is part of CO 384/20 from The National Archives, UK.",,daniel
17517400,"To all friends to the distressed, and well-disposed Christians, the petition of the Glasgow Emigrant Society.",3,Title from publisher's website.,,daniel
17517401,"New South Wales, &c. (Crown Lands and Emigration) : return to an address of His Majesty, dated 14 September 1831 : copies of the royal instructions to the governors of New South Wales, Van Diemen's Land, and Western Australia, as to the mode to be adopted in disposing of crown lands : together with such parts of any despatches addressed to them as relate to the same subject, or to the means by which emigration may be facilitated.",1,From collection: War and Colonial Department and Colonial Office: Emigration Original Correspondence.,,daniel
17517401,"New South Wales, &c. (Crown Lands and Emigration) : return to an address of His Majesty, dated 14 September 1831 : copies of the royal instructions to the governors of New South Wales, Van Diemen's Land, and Western Australia, as to the mode to be adopted in disposing of crown lands : together with such parts of any despatches addressed to them as relate to the same subject, or to the means by which emigration may be facilitated.",2,"This document is part of CO 384/30 from The National Archives, UK.",,daniel
17517401,"New South Wales, &c. (Crown Lands and Emigration) : return to an address of His Majesty, dated 14 September 1831 : copies of the royal instructions to the governors of New South Wales, Van Diemen's Land, and Western Australia, as to the mode to be adopted in disposing of crown lands : together with such parts of any despatches addressed to them as relate to the same subject, or to the means by which emigration may be facilitated.",3,Title from publisher's website.,,daniel
